h2s,tz=0,v=1.6
time,h2s,so2,T101_Mode
1688191740,NaN,NaN,1
1688191800,NaN,NaN,1
1688191860,NaN,NaN,1
1688191920,NaN,NaN,1
1688191980,6.970e-01,NaN,1
1688192040,6.410e-01,NaN,1
1688192100,6.170e-01,NaN,1
1688192160,6.010e-01,NaN,1
1688192220,6.070e-01,NaN,1
1688192280,NaN,NaN,1
1688192340,NaN,NaN,2
1688192400,NaN,NaN,2
1688192460,NaN,NaN,2
1688192520,NaN,NaN,2
1688192580,NaN,2.000e-01,2
1688192640,NaN,2.000e-01,2
1688192700,NaN,2.000e-01,2
1688192760,NaN,2.000e-01,2
1688192820,NaN,2.000e-01,2
1688192880,NaN,NaN,2
1688192940,NaN,NaN,1
1688193000,NaN,NaN,1
1688193060,NaN,NaN,1
1688193120,NaN,NaN,1
1688193180,6.050e-01,NaN,1
1688193240,5.580e-01,NaN,1
1688193300,5.200e-01,NaN,1
1688193360,4.540e-01,NaN,1
1688193420,4.540e-01,NaN,1
1688193480,NaN,NaN,1
1688193540,NaN,NaN,2
1688193600,NaN,NaN,2
1688193660,NaN,NaN,2
1688193720,NaN,NaN,2
1688193780,NaN,2.000e-01,2
1688193840,NaN,2.000e-01,2
1688193900,NaN,2.000e-01,2
1688193960,NaN,2.000e-01,2
1688194020,NaN,2.000e-01,2
1688194080,NaN,NaN,2
1688194140,NaN,NaN,1
1688194200,NaN,NaN,1
1688194260,NaN,NaN,1
1688194320,NaN,NaN,1
1688194380,6.440e-01,NaN,1
1688194440,7.530e-01,NaN,1
1688194500,8.350e-01,NaN,1
1688194560,8.930e-01,NaN,1
1688194620,8.500e-01,NaN,1
1688194680,NaN,NaN,1
1688194740,NaN,NaN,2
1688194800,NaN,NaN,2
1688194860,NaN,NaN,2
1688194920,NaN,NaN,2
1688194980,NaN,2.000e-01,2
1688195040,NaN,2.000e-01,2
1688195100,NaN,2.000e-01,2
1688195160,NaN,2.000e-01,2
1688195220,NaN,2.000e-01,2
1688195280,NaN,NaN,2
1688195340,NaN,NaN,1
1688195400,NaN,NaN,1
1688195460,NaN,NaN,1
1688195520,NaN,NaN,1
1688195580,9.010e-01,NaN,1
1688195640,9.320e-01,NaN,1
1688195700,9.870e-01,NaN,1
1688195760,9.620e-01,NaN,1
1688195820,9.460e-01,NaN,1
1688195880,NaN,NaN,1
1688195940,NaN,NaN,2
1688196000,NaN,NaN,2
1688196060,NaN,NaN,2
1688196120,NaN,NaN,2
1688196180,NaN,2.000e-01,2
1688196240,NaN,2.000e-01,2
1688196300,NaN,2.000e-01,2
1688196360,NaN,2.000e-01,2
1688196420,NaN,2.000e-01,2
1688196480,NaN,NaN,2
1688196540,NaN,NaN,1
1688196600,NaN,NaN,1
1688196660,NaN,NaN,1
1688196720,NaN,NaN,1
1688196780,7.870e-01,NaN,1
1688196840,7.250e-01,NaN,1
1688196900,6.850e-01,NaN,1
1688196960,6.500e-01,NaN,1
1688197020,6.680e-01,NaN,1
1688197080,NaN,NaN,1
1688197140,NaN,NaN,2
1688197200,NaN,NaN,2
1688197260,NaN,NaN,2
