ch4,co2,co,h2s,so2,nox,ethane,ethene,propane,propene,1_3-butadiene,i-butane,n-butane,acetylene,cyclopentane,i-pentane,n-pentane,n-hexane,isoprene,n-heptane,benzene,n-octane,toluene,ethyl-benzene,m&p-xylene,o-xylene,time_utc
1.8,0.04731018911290337,40,0.8,0.8,0.05025413022552787,0.026537073155534947,0.02328428068733327,0.01747948562333832,0.018130846937412123,0.028,0.014249162872807364,0.013405200994901386,0.086,0.013192341130068001,0.010277344059035659,0.010243925244957292,0.009246386186769415,0.022,0.008357750718515832,0.0096958229086729,0.008634697546385257,0.008852979083417227,0.008104056148662978,0.008795405272288802,0.00841635182248904,2023-06-16 03:05:00
1.8,0.04441759774936035,40,0.8,0.8,0.1,0.052,0.046,0.034,0.036,0.028,0.028,0.026,0.086,0.026,0.02,0.02,0.018,0.01112765290955262,0.016,0.018,0.016,0.016,0.016,0.016,0.016,2023-06-16 01:05:00
1.8,0.04434656242475546,40,0.8,0.8,0.1,0.052,0.046,0.034,0.036,0.028,0.028,0.026,0.086,0.026,0.02,0.02,0.018,0.022,0.016,0.018,0.016,0.016,0.008046413308927214,0.016,0.016,2023-06-16 00:05:00
1.8,0.0449595102014799,40,0.8,0.8,0.1,0.052,0.046,0.034,0.036,0.028,0.028,0.026,0.086,0.026,0.02,0.02,0.018,0.022,0.016,0.018,0.016,0.008041468420814674,0.016,0.00807392734063268,0.016,2023-06-16 02:05:00
1.8,0.048272526957871806,40,0.8,0.8,0.1,0.052,0.046,0.034,0.036,0.028,0.028,0.013092684378650908,0.086,0.013074080993602754,0.010103718657102355,0.010103970316821401,0.009376780932844424,0.022,0.009595088317264173,0.009155146897691287,0.01226457583649822,0.010131224723105665,0.009588555921752225,0.013885883816326544,0.01334030603560411,2023-06-16 04:05:00
1.8,0.04441519372525655,40,0.8,0.8,0.1,0.052,0.046,0.034,0.036,0.028,0.028,0.026,0.086,0.026,0.02,0.02,0.018,0.022,0.016,0.018,0.016,0.016,0.016,0.016,0.016,2023-06-19 21:05:00
1.8,0.04438416827770451,40,0.8,0.8,0.1,0.052,0.046,0.034,0.036,0.028,0.028,0.026,0.086,0.026,0.02,0.02,0.018,0.022,0.016,0.018,0.016,0.016,0.016,0.016,0.016,2023-06-19 19:05:00
1.8,0.044427238751857286,40,0.8,0.8,0.1,0.052,0.046,0.034,0.036,0.028,0.028,0.026,0.086,0.026,0.02,0.02,0.018,0.022,0.016,0.018,0.016,0.016,0.016,0.016,0.016,2023-06-19 20:05:00
1.8,0.04473216059548628,40,0.8,0.8,0.1,0.052,0.046,0.017142218668303757,0.036,0.028,0.01407957289790079,0.013159033144594257,0.086,0.013120793075493527,0.010109693592767595,0.010087321655403512,0.009067142635823285,0.022,0.008086796966172384,0.009867062252836898,0.008164755119210158,0.008652182863851424,0.008589918839770578,0.008317563540633085,0.008486554431858652,2023-06-19 17:05:00
1.8,0.044434495643761805,40,0.8,0.8,0.1,0.052,0.046,0.034,0.036,0.028,0.028,0.026,0.086,0.026,0.02,0.02,0.018,0.022,0.016,0.018,0.016,0.016,0.016,0.016,0.016,2023-06-19 18:05:00
